barcode,name,description,unitPrice,stockQuantity,insertionDate,categoryID
BEAU001,Face Wash,Gentle daily facial cleanser,12.99,120,1/4/2026 9:15,6
BEAU002,Moisturizing Cream,Hydrating skin moisturizer,18.99,90,1/12/2026 14:40,6
BEAU003,Shampoo,Nourishing hair shampoo,9.99,150,1/20/2026 10:25,6
BEAU004,Conditioner,Hair repair conditioner,10.99,140,1/28/2026 16:50,6
BEAU005,Body Lotion,Refreshing body lotion,14.99,100,2/5/2026 11:10,6
BEAU006,Sunscreen SPF50,Broad spectrum sun protection,16.99,80,2/13/2026 15:35,6
BEAU007,Lip Balm,Moisturizing lip balm,4.99,200,2/21/2026 9:20,6
BEAU008,Perfume,Long-lasting fragrance,49.99,40,3/2/2026 18:45,6
BEAU009,Electric Toothbrush,Rechargeable toothbrush,39.99,50,3/10/2026 12:30,6
BEAU010,Hair Dryer,Professional hair dryer,34.99,35,3/18/2026 17:05,6
BEAU011,Beard Trimmer,Cordless beard trimmer,29.99,45,3/26/2026 10:15,6
BEAU012,Face Mask Pack,Set of hydrating face masks,15.99,70,4/4/2026 14:50,6
BEAU013,Hand Cream,Moisturizing hand cream,7.99,120,4/12/2026 9:35,6
BEAU014,Makeup Brush Set,Professional makeup brushes,24.99,55,4/20/2026 16:20,6
BEAU015,Nail Care Kit,Complete nail grooming kit,19.99,60,5/6/2026 11:45,6
BEAU016,Body Scrub,Exfoliating body scrub,13.99,85,5/22/2026 18:10,6
BEAU017,Hair Serum,Repair and shine hair serum,21.99,75,6/18/2026 10:55,6
BOOK001,Learn PHP,Beginner guide to PHP development,24.99,70,1/5/2026 10:10,5
BOOK002,Mastering JavaScript,Advanced JavaScript concepts,29.99,50,1/13/2026 15:25,5
BOOK003,Database Design,Practical database design book,34.99,40,1/21/2026 18:40,5
BOOK004,Algorithms Explained,Introduction to algorithms,39.99,35,2/2/2026 9:30,5
BOOK005,Clean Code,Best practices for developers,32.99,30,2/10/2026 14:55,5
BOOK006,Web Development,HTML CSS and JavaScript,22.99,60,2/18/2026 11:20,5
BOOK007,Data Structures,Fundamentals of data structures,28.99,45,2/26/2026 16:45,5
BOOK008,Python Programming,Comprehensive Python guide,35.99,55,3/6/2026 9:15,5
BOOK009,Artificial Intelligence,AI concepts and applications,42.99,25,3/14/2026 13:40,5
BOOK010,Cybersecurity Essentials,Introduction to cybersecurity,31.99,40,3/22/2026 18:10,5
BOOK011,Networking,Computer networking basics,27.99,50,4/1/2026 10:05,5
BOOK012,Software Engineering,Software development lifecycle,36.99,30,4/9/2026 15:30,5
BOOK013,Cloud Computing,Cloud technologies explained,33.99,35,4/17/2026 12:25,5
BOOK014,Machine Learning,ML concepts for beginners,38.99,25,5/3/2026 17:50,5
BOOK015,Operating Systems,Operating system principles,29.99,45,5/18/2026 9:35,5
BOOK016,Computer Architecture,Hardware and architecture,34.99,40,6/8/2026 14:20,5
BOOK017,Advanced Programming,Deep dive into programming paradigms,44.99,20,6/20/2026 11:10,5
CLOT001,Basic T-Shirt,100% cotton crew neck t-shirt,14.99,200,1/3/2026 9:10,2
CLOT002,Slim Fit Jeans,Comfortable blue denim jeans,39.99,120,1/11/2026 14:25,2
CLOT003,Hoodie,Fleece-lined pullover hoodie,34.99,90,1/19/2026 18:40,2
CLOT004,Polo Shirt,Classic short-sleeve polo shirt,24.99,80,1/27/2026 10:05,2
CLOT005,Running Shorts,Lightweight athletic shorts,19.99,140,2/4/2026 12:33,2
CLOT006,Winter Jacket,Insulated winter jacket,89.99,35,2/12/2026 16:50,2
CLOT007,Dress Shirt,Formal button-down shirt,29.99,75,2/20/2026 9:18,2
CLOT008,Sweatpants,Comfortable fleece sweatpants,27.99,95,2/28/2026 13:44,2
CLOT009,Baseball Cap,Adjustable cotton cap,12.99,150,3/7/2026 11:22,2
CLOT010,Sneakers,Casual everyday sneakers,59.99,70,3/15/2026 17:36,2
CLOT011,Socks Pack,Pack of five cotton socks,9.99,200,3/23/2026 8:55,2
CLOT012,Leather Belt,Classic leather belt,18.99,90,4/1/2026 14:10,2
CLOT013,Tank Top,Sleeveless cotton tank top,11.99,110,4/9/2026 9:47,2
CLOT014,Cardigan,Soft knit cardigan sweater,44.99,45,4/18/2026 15:30,2
CLOT015,Raincoat,Water-resistant raincoat,49.99,30,5/2/2026 10:20,2
CLOT016,Scarf,Warm winter scarf,15.99,99,5/15/2026 18:05,2
CLOT017,Gloves,Insulated winter gloves,17.99,85,6/10/2026 12:40,2
ELEC001,Wireless Mouse,Ergonomic wireless mouse with USB receiver,19.99,120,1/5/2026 10:15,1
ELEC002,Mechanical Keyboard,RGB mechanical gaming keyboard,59.99,75,1/14/2026 14:32,1
ELEC003,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,39.99,60,1/28/2026 9:47,1
ELEC004,USB-C Charger,Fast charging USB-C wall adapter,24.99,90,2/3/2026 16:21,1
ELEC005,Webcam HD,1080p HD webcam for video calls,44.99,35,2/12/2026 11:05,1
ELEC006,Gaming Headset,Noise-canceling gaming headset,69.99,50,2/25/2026 18:40,1
ELEC007,External SSD 500GB,High-speed portable SSD storage,79.99,40,3/6/2026 8:55,1
ELEC008,Wireless Earbuds,Bluetooth earbuds with charging case,49.99,85,3/17/2026 13:12,1
ELEC009,Smart Watch,Fitness tracking smartwatch,129.99,25,3/29/2026 15:44,1
ELEC010,Laptop Stand,Adjustable aluminum laptop stand,29.99,70,4/8/2026 10:08,1
ELEC011,Power Bank 10000mAh,Portable battery pack,34.99,100,4/19/2026 17:25,1
ELEC012,Monitor 24 Inch,Full HD LED monitor,149.99,30,4/30/2026 12:50,1
ELEC013,Phone Tripod,Adjustable smartphone tripod,22.99,55,5/9/2026 9:18,1
ELEC014,Wireless Charger,Qi-certified charging pad,27.99,65,5/18/2026 14:39,1
ELEC015,Action Camera,Waterproof action camera,99.99,20,5/27/2026 19:07,1
ELEC016,USB Hub,4-port USB 3.0 hub,18.99,80,6/6/2026 11:33,1
ELEC017,Smart Home Plug,WiFi-enabled smart plug,16.99,94,6/18/2026 16:52,1
HOME001,Coffee Maker,Programmable drip coffee maker,79.99,25,1/4/2026 8:15,3
HOME002,Electric Kettle,1.7L stainless steel kettle,34.99,50,1/13/2026 12:30,3
HOME003,Blender,High-speed kitchen blender,59.99,40,1/22/2026 17:45,3
HOME004,Cookware Set,10-piece non-stick cookware set,129.99,20,2/2/2026 10:20,3
HOME005,Knife Set,Stainless steel kitchen knives,49.99,35,2/11/2026 14:55,3
HOME006,Toaster,2-slice electric toaster,29.99,60,2/19/2026 9:10,3
HOME007,Vacuum Cleaner,Bagless upright vacuum cleaner,149.99,15,2/28/2026 16:40,3
HOME008,Air Fryer,Digital air fryer with timer,99.99,30,3/8/2026 11:25,3
HOME009,Desk Lamp,LED adjustable desk lamp,24.99,80,3/16/2026 18:05,3
HOME010,Storage Box,Large plastic storage container,14.99,100,3/25/2026 9:50,3
HOME011,Dining Plates Set,Ceramic plate set of six,39.99,45,4/3/2026 13:15,3
HOME012,Bed Sheet Set,Queen-size microfiber sheets,34.99,55,4/12/2026 10:35,3
HOME013,Laundry Basket,Foldable laundry basket,12.99,90,4/20/2026 17:00,3
HOME014,Wall Clock,Modern decorative wall clock,19.99,70,5/1/2026 9:25,3
HOME015,Water Filter Pitcher,Household water filter pitcher,29.99,40,5/14/2026 15:40,3
HOME016,Rice Cooker,Automatic rice cooker,54.99,34,5/28/2026 12:10,3
HOME017,Food Storage Containers,Set of airtight containers,26.99,74,6/12/2026 18:35,3
SPRT001,Yoga Mat,Non-slip exercise yoga mat,24.99,80,1/6/2026 9:10,4
SPRT002,Dumbbell Set,Adjustable dumbbell pair,89.99,25,1/15/2026 14:35,4
SPRT003,Resistance Bands,Set of resistance bands,19.99,120,1/24/2026 18:20,4
SPRT004,Basketball,Official size basketball,29.99,50,2/3/2026 11:05,4
SPRT005,Football,Durable training football,24.99,60,2/11/2026 16:40,4
SPRT006,Tennis Racket,Lightweight tennis racket,79.99,20,2/20/2026 9:25,4
SPRT007,Jump Rope,Adjustable speed jump rope,12.99,150,2/28/2026 13:55,4
SPRT008,Protein Shaker,Leak-proof shaker bottle,9.99,200,3/7/2026 10:10,4
SPRT009,Exercise Ball,Anti-burst fitness ball,22.99,45,3/16/2026 17:30,4
SPRT010,Cycling Helmet,Protective bike helmet,49.99,35,3/25/2026 12:45,4
SPRT011,Running Shoes,Lightweight running shoes,74.99,40,4/2/2026 9:15,4
SPRT012,Fitness Tracker,Activity tracking wristband,59.99,30,4/10/2026 15:50,4
SPRT013,Pull-Up Bar,Doorway pull-up bar,34.99,50,4/18/2026 11:20,4
SPRT014,Boxing Gloves,Training boxing gloves,39.99,45,5/1/2026 18:05,4
SPRT015,Camping Tent,2-person outdoor tent,119.99,15,5/14/2026 8:40,4
SPRT016,Sleeping Bag,Compact camping sleeping bag,49.99,24,5/28/2026 14:25,4
SPRT017,Water Bottle,Insulated stainless bottle,17.99,100,6/15/2026 10:55,4
