orderID,userID,totalPrice,orderDate
1001,6,127.92,1/15/2026
1002,7,184.96,1/16/2026
1003,8,94.97,1/18/2026
1004,9,168.96,1/20/2026
1005,10,39.98,1/22/2026
1006,11,289.95,1/24/2026
1007,12,108.93,1/26/2026
1008,13,145.97,1/28/2026
1009,14,259.94,1/30/2026
1010,15,153.96,2/1/2026
1011,16,74.97,2/3/2026
1012,17,219.94,2/5/2026
1013,18,89.97,2/7/2026
1014,19,129.97,2/9/2026
1015,20,264.96,2/11/2026
1016,21,195.96,2/13/2026
1017,22,134.97,2/15/2026
1018,23,159.96,2/17/2026
1019,24,119.96,2/19/2026
1020,25,189.94,2/21/2026
1021,26,99.96,2/23/2026
1022,27,224.95,2/25/2026
1023,28,148.95,2/27/2026
1024,29,214.96,3/1/2026
1025,30,97.96,3/3/2026
1026,31,179.97,3/5/2026
1027,32,154.97,3/7/2026
1028,33,199.95,3/9/2026
1029,34,174.97,3/11/2026
1030,35,134.98,3/13/2026
1031,36,249.96,3/15/2026
1032,37,139.97,3/17/2026
1033,38,164.96,3/19/2026
1034,39,84.97,3/21/2026
1035,40,229.94,3/23/2026
1036,41,289.97,3/25/2026
1037,42,184.97,3/27/2026
1038,43,119.98,3/29/2026
1039,44,94.97,3/31/2026
1040,45,209.96,4/2/2026
1041,46,149.97,4/4/2026
1042,47,174.96,4/6/2026
1043,48,99.96,4/8/2026
1044,49,299.94,4/10/2026
1045,50,139.95,4/12/2026
1046,6,229.92,2/5/2026
1047,7,269.95,2/10/2026
1048,8,184.94,2/15/2026
1049,9,97.98,2/20/2026
1050,11,239.94,2/25/2026
1051,12,159.96,3/1/2026
1052,13,94.98,3/5/2026
1053,14,199.92,3/10/2026
1054,15,89.99,3/15/2026
1055,17,319.92,3/20/2026
1056,18,124.97,3/25/2026
1057,20,214.93,3/30/2026
1058,22,149.97,4/1/2026
1059,25,279.94,4/5/2026
1060,26,104.97,4/10/2026
1061,27,189.97,4/15/2026
1062,29,179.98,4/20/2026
1063,30,244.93,4/25/2026
1064,32,159.97,4/28/2026
1065,33,129.97,4/30/2026
1066,34,259.92,5/2/2026
1067,35,99.99,5/5/2026
1068,37,164.96,5/8/2026
1069,38,279.95,5/10/2026
1070,39,119.97,5/12/2026
1071,40,299.94,5/15/2026
1072,42,89.98,5/18/2026
1073,43,194.97,5/20/2026
1074,44,139.98,5/22/2026
1075,46,229.93,5/25/2026
1076,47,109.97,5/28/2026
1077,48,234.91,5/30/2026
1078,49,159.97,6/1/2026
1079,50,179.99,6/3/2026
1080,6,149.96,6/5/2026
1081,7,289.94,6/8/2026
1082,8,119.98,6/10/2026
1083,9,209.94,6/12/2026
1084,11,154.97,6/15/2026
1085,12,169.96,6/18/2026
1086,13,139.97,6/20/2026
1087,14,239.92,6/22/2026
1088,15,84.99,6/25/2026
1089,17,189.95,6/28/2026
1090,18,139.97,6/30/2026
1091,20,199.93,7/2/2026
1092,22,174.98,7/5/2026
1093,25,159.94,7/8/2026
1094,26,219.96,7/10/2026
1095,27,94.97,7/12/2026
1096,29,299.91,7/15/2026
1097,30,154.97,7/18/2026
1098,32,249.96,7/20/2026
1099,33,129.97,7/22/2026
1100,34,214.95,7/25/2026
